agg_level_desc,state_alpha,year,source_desc,short_desc,unit_desc,sector_desc,group_desc,commodity_desc,domain_desc,domaincat_desc,value,value_num,censored,ch2_tables,ch2_table_name
STATE,AK,2002,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",TOTAL,NOT SPECIFIED,609,609,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2002,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",TOTAL,NOT SPECIFIED,2128740,2128740,FALSE,1,State Summary Highlights:  2022
STATE,AK,2007,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",TOTAL,NOT SPECIFIED,686,686,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2007,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",TOTAL,NOT SPECIFIED,2204792,2204792,FALSE,1,State Summary Highlights:  2022
STATE,AK,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1111),7,7,FALSE,1,State Summary Highlights:  2022
STATE,AK,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1112),108,108,FALSE,1,State Summary Highlights:  2022
STATE,AK,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1113),15,15,FALSE,1,State Summary Highlights:  2022
STATE,AK,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1114),147,147,FALSE,1,State Summary Highlights:  2022
STATE,AK,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1119),207,207,FALSE,1,State Summary Highlights:  2022
STATE,AK,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11193 & 11194 & 11199),207,207,FALSE,1,State Summary Highlights:  2022
STATE,AK,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (112111),51,51,FALSE,1,State Summary Highlights:  2022
STATE,AK,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (112112),1,1,FALSE,1,State Summary Highlights:  2022
STATE,AK,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11212),6,6,FALSE,1,State Summary Highlights:  2022
STATE,AK,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1122),9,9,FALSE,1,State Summary Highlights:  2022
STATE,AK,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1123),26,26,FALSE,1,State Summary Highlights:  2022
STATE,AK,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1124),27,27,FALSE,1,State Summary Highlights:  2022
STATE,AK,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1125 & 1129),158,158,FALSE,1,State Summary Highlights:  2022
STATE,AK,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",TOTAL,NOT SPECIFIED,762,762,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1111),369332,369332,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1112),43021,43021,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1113),93020,93020,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1114),52777,52777,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1119),496837,496837,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11191),5132,5132,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11192),8915,8915,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11193 & 11194 & 11199),482790,482790,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (112111),619172,619172,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (112112),13734,13734,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11212),46005,46005,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1122),21687,21687,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1123),52849,52849,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1124),73272,73272,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1125 & 1129),227597,227597,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2012,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",TOTAL,NOT SPECIFIED,2109303,2109303,FALSE,1,State Summary Highlights:  2022
STATE,AK,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1111),3,3,FALSE,1,State Summary Highlights:  2022
STATE,AK,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1112),148,148,FALSE,1,State Summary Highlights:  2022
STATE,AK,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1113),21,21,FALSE,1,State Summary Highlights:  2022
STATE,AK,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1114),280,280,FALSE,1,State Summary Highlights:  2022
STATE,AK,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1119),220,220,FALSE,1,State Summary Highlights:  2022
STATE,AK,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11193 & 11194 & 11199),220,220,FALSE,1,State Summary Highlights:  2022
STATE,AK,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (112111),55,55,FALSE,1,State Summary Highlights:  2022
STATE,AK,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11212),8,8,FALSE,1,State Summary Highlights:  2022
STATE,AK,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1122),14,14,FALSE,1,State Summary Highlights:  2022
STATE,AK,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1123),37,37,FALSE,1,State Summary Highlights:  2022
STATE,AK,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1124),31,31,FALSE,1,State Summary Highlights:  2022
STATE,AK,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1125 & 1129),173,173,FALSE,1,State Summary Highlights:  2022
STATE,AK,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",TOTAL,NOT SPECIFIED,990,990,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1111),325033,325033,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1112),45165,45165,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1113),95441,95441,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1114),45477,45477,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1119),455974,455974,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11191),3757,3757,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11192),8815,8815,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11193 & 11194 & 11199),443402,443402,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (112111),641496,641496,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (112112),13379,13379,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11212),37750,37750,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1122),23048,23048,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1123),44260,44260,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1124),92974,92974,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1125 & 1129),222223,222223,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2017,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",TOTAL,NOT SPECIFIED,2042220,2042220,FALSE,1,State Summary Highlights:  2022
STATE,AK,2022,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1111),2,2,FALSE,1,State Summary Highlights:  2022
STATE,AK,2022,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1112),167,167,FALSE,1,State Summary Highlights:  2022
STATE,AK,2022,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1113),52,52,FALSE,1,State Summary Highlights:  2022
STATE,AK,2022,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1114),329,329,FALSE,1,State Summary Highlights:  2022
STATE,AK,2022,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1119),224,224,FALSE,1,State Summary Highlights:  2022
STATE,AK,2022,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11193 & 11194 & 11199),224,224,FALSE,1,State Summary Highlights:  2022
STATE,AK,2022,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (112111),78,78,FALSE,1,State Summary Highlights:  2022
STATE,AK,2022,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (112112),1,1,FALSE,1,State Summary Highlights:  2022
STATE,AK,2022,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11212),7,7,FALSE,1,State Summary Highlights:  2022
STATE,AK,2022,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1122),19,19,FALSE,1,State Summary Highlights:  2022
STATE,AK,2022,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1123),68,68,FALSE,1,State Summary Highlights:  2022
STATE,AK,2022,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1124),41,41,FALSE,1,State Summary Highlights:  2022
STATE,AK,2022,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1125 & 1129),185,185,FALSE,1,State Summary Highlights:  2022
STATE,AK,2022,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",TOTAL,NOT SPECIFIED,1173,1173,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2022,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1111),330930,330930,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2022,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1112),41793,41793,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2022,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1113),97343,97343,FALSE,1,State Summary Highlights:  2022
NATIONAL,US,2022,CENSUS,"INCOME, NET CASH FARM, OF OPERATIONS - OPERATIONS WITH NET INCOME",OPERATIONS,ECONOMICS,INCOME,"INCOME, NET CASH FARM",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1114),50785,50785,FALSE,1,State Summary Highlights:  2022
